Nombre del Gimnasio,Zona / Municipio,Categoría,Link de Google Maps,Teléfono / WhatsApp,Instagram (@usuario),"Precio Mensual, semanal o diario (Ref.)",Planes ,Amenidades,Actividades,Horario (Resumen),Columna 12,imagenes ,,,,
Gold's Gym (Sede C.C. San Ignacio),Chacao.,Gimnasio Integral / Fitness Center.,https://share.google/vFv9RuNXETcFQWmYa,212-2642045,@goldsgymve,"80$ mensual, 215$ trimestral ",,"Sauna, Estacionamiento, Lockers, Asesoría nutricional, vestidores, Duchas","Cycling, Pilates, Yoga, TRX",Lun-Vie: 6:00 AM – 9:00 PM | Sáb: 8:00 AM – 4:00 PM | Dom: 8:00 AM – 1:00 PM.,4.3 / 5,"https://www.tendenciainternacional.com/wp-content/uploads/2024/11/040293.jpg  , https://www.goldsgym.com.ve/img/sede-sanignacio_01.jpg  ",,,,
Black Rock GYM,Las Mercedes (Baruta),Centro de Entrenamiento Híbrido,https://share.google/GFec5QHHO3YU1bgYE,412-8958723,@theblackrockgym,"15$ Diario, 30$ semanal","Estudiantil (90$+ 10$ inscripcion) , Familiar :  2 miembros (170$ + 50$ inscripcion) 3 miembros ( 260$ + 50$ inscripcion) y plan senior (90$ + 10$ inscripcion)","Sauna, Estacionamiento, Duchas , Lockers, Baby GYM, Muro de escaladas, Cafetería","Escalada, Cycling, CrossFit, Yoga, Pilates, Zumba",Lun-Vie: 6:00 AM – 9:00 PM | Sáb: 9:00 AM – 3:00 PM.,4.9 / 5,https://theblackrockgym.com/wp-content/uploads/2025/07/Screenshot-2025-07-22-at-1.46.15%E2%80%AFPM.jpeg ,,,,
Arabito Fitness Gym,Sabana Grande (Libertador).,Gimnasio de Musculación y Clases.,https://share.google/LR8DUx7X1gNfYASWB,412-6772434,@arabitofitness_gym,"5€ Diario, 20€ semanal, 330€ anual ","Estudiantil (20€) , tercera edad (20€) , genio (75€ incluye entrenador) , Arabito (38€) y matutino (27€)","Lockers, Seguridad",Entrenamiento Funcional,Lun-Vie: 6:00 AM – 10:30 PM | Sáb: 8:00 AM – 4:00 PM.,4.8 / 5,"https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQA0O36fDxM5Rc2ZjuCV1BDbiJ1QVVZuUK7PA&s ,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSrfmFLSX4V57Dp2frxS0SNpSZ8kqXahQ8_Aw&s  ",,,,
Sweat Gym,Chacao.,Gimnasio de Entrenamiento Funcional y Musculación,https://maps.app.goo.gl/BeLfd8EZVe5eZpEX8,212-2652882,@sweatgymchacao,no respondio ,,"Duchas , vestidores","Entrenamiento Funcional, Levantamiento de pesas",Lun-Vie: 5:45 AM – 9:00 PM | Sáb: 9:00 AM – 4:00 PM.,4.5 / 5,"https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR-ZX9XPWTq16icurYf-7UHYPOAsne5r5xVpQ&s , https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTnnj3HTQ748d_TdAntLGgzpG_YQN8uTMYgaw&s   ",,,,
Gym Fitness Caracas,Los Palos Grandes (Chacao).,Gimnasio / Fitness Club.,https://maps.app.goo.gl/P8tkyRkboj528nCo8,212-2832422,@gymfitness_ccs,"10$ Diario, 30$ semanal, 70$ Mensual, 100$ 2 meses, 150$ 3 meses","Estudiantil (60$ hasta los 18 años) , Corporativo (50$ a partir de 10 personas) , tercera edad (60$ a partir de 60 años)","Duchas , vestidores, Sauna","Entrenamiento Funcional, Cycling, Musculación",Lun-Vie: 6:00 AM – 10:00 PM | Sáb: 6:00 AM – 3:00 PM.,4.6 / 5,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRkhaO8tsnHGBZ2pftBEBKRccqhKFoKebH5nQ&s,,,,
Rock and Rolls Fit (Sede C.C. Galerías Ávila),La Candelaria (Libertador).,Gimnasio Comercial de Gran Escala.,https://share.google/zWQPYcfjSxQqYbpEm,424-3731901,@rockandrollsfit,,"Plan basico (25$ entrenador y plan de alimentacion) , plan parking rock (35$ con estcionamiento, entrenador y plan de alimentacion)",Lockers,Musculación,Lun-Vie: 6:00 AM – 9:00 PM | Sáb-Dom: 9:00 AM – 3:00 PM.,4.1 / 5,"https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTNkDhZ0wZEBusEdmzA3meTtVGj7Dd9zgSvJw&s , https://www.rockandrollsfit.com/wp-content/uploads/2025/03/sedes-catia.jpg ",,,,
Gimnasio Emporio,Av. Baralt (Libertador).,Gimnasio de Musculación y Disciplinas Varias,https://share.google/qRfPd0zITJgwhFL9b,No dice,@emporiogymoficial,"2$ Diario, 5$ semanal, 10$ 3 semanas, 20$ 2 meses, 40$ 4 meses y 100$ 1 Año ","Semanal (5$ entrenador) , mensual (20$ entrenador )",Entrenamiento personal,"Baile terapia, Zumba, Step",Lun-Vie: 6:00 AM – 10:00 PM (Jueves hasta las 11 PM) | Sáb: 8:00 AM – 1:00 PM.,4.3 / 5,no hay ,,,,
Focus Fitness,La Castellana,Fitness Center,https://maps.app.goo.gl/h9J1tbxVU325WwGU8,414-5991697,@focusfit.ve,"30$ 1 clase, 4 clases 100$, 8 clases 120$, 12 clases 160$","full 300$ , after office 180$",Entrenamiento personal,Musculación,7AM-8PM,4.5 / 5,"https://www.focusfitnessve.com/img/chacao-focus.webp , https://mmedia.notitarde.com.ve/19742/autor-notitarde--fiorella-alizo-42390.jpeg , https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSfOpEZaDyLJmJtvuLqi93v6SKVE-aRog9Yfw&s ",,,,
BodyBox,La Castellana,Integral Fitness,https://maps.app.goo.gl/WxmbgUDrsytqeNr69,412-9270534,@bodybox__fitness,no respondio,,,Entrenamiento Funcional,6AM-8PM,4.2 / 5,https://bodyboxgym.com/assets/KYP_2168_1765962520678-9svSPD4b.jpg ,,,,
Image Gym,Chacao,Musculación,https://maps.app.goo.gl/r267dfJ3pbB6GFHN8,212-2677479,@imagegym,,"plan basico (45$ + 10$ de inscripcion), plan pareja ( 40$ + 10 inscripcion) , plan familiar + de 4pers ( 35$ + 10$ inscripcion), plan corporativo desde 8 pers ( 40$ sin inscripcion) plan 3era edad (30$ sin inscripcion)",Sauna,,5:30AM-9PM,4.2 / 5,"https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTEb0jpA1vrulghwWc46ck10ESXsrpZ7ym_qg&s , ",,,,
Planet Fit,Altamira,Fitness,https://maps.app.goo.gl/bTeRLnF7CJZfxYez5,No dice,@planetfit_ve,"12$ dia, 27$ semanal,70$ mensual, 175$ trimestral, 480$ anual","estudiantil (36$ de 15 a 21 años), plan planet 60plus (50$ hombres y mujeres mayores de 60 años)",,Musculación,6AM-9PM,4.7 / 5,no hay ,,,,
Aura Fit Center,Chacao,Boutique,https://maps.app.goo.gl/DcF2485zEF3B4hmA6,424-1744015,@aurafitcenter,inactivo,,Cafetería,,7AM-7PM,4.5 / 5," https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTT2OOfl17JiJIlEk55yXEDduU8IlAs14c80A&s , https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ_qPpb-VmpB4JS-H3shUIp35XSsb8E8iqJuw&s ",,,,
Nautilus Fitness Center,Las Mercedes (Baruta),Integral Fitness,https://maps.app.goo.gl/1WUeoSuKavAYZSZU6,212-9598384,@nautilusfitnesscenter,60$ mensual + 20$ inscripcion,,"Piscina, Sauna","Natación, Levantamiento de pesas",6:30AM-8PM,4.8 / 5, https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQgpWcnxWOUp5thYFlcxZQa5W4sIOTtknR7fQ&s,,,,
Fitness Factory,Las Mercedes (Baruta),Funcional,https://maps.app.goo.gl/9YoQwGxvwGtmegdn8,414-1202121,@atcfitnessfactory,"10$ diario, 120$ mensual","estudiantil (100$), familiar: 3 miembros (110$ c/u) 4 miembros (100$ c/u)  5 miembros o mas (90$ c/u)",Terraza,Entrenamiento Funcional,6AM-9PM,4.7 / 5,"https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ2ZeMGjir-UuAAboIJCcy7QBBNOIP45_N6Hw&s , https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRFXfjh7Bh-20kREibpIbIJNcrKmwXcSPOvOA&s , https://www.tendenciainternacional.com/wp-content/uploads/2024/11/040293.jpg ,  https://www.goldsgym.com.ve/img/sede-sanignacio_01.jpg ",,,,
The Teaser Pilates,Av. Jalisco,Pilates,https://share.google/Ghue4DF2WjhUFBkJM,No dice,@theteaserpilates,,"4 clases al mes (80$) , 8 clases al mes (100$) , 12 clases (120$) , 16 clases (160$) y 20 clases (200$)",,Pilates,7AM-7PM,4.8 / 5,"https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSI3Gax3RRgnxrpG68eVwLl77prEIiLS3IdTA&s ,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT-20nfDEUK89Om4Pf0UMU32CBjrX8I2I4wqg&s ",,,,
Jân Pilates VIP,Santa Marta,Pilates,https://share.google/PrrlINq6yvD7Tderb,414 1237770,@janpilates,no respondieron,,,Pilates,8AM-6PM,4.9 / 5,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT1jtHt3Akj5Qe7wP5BnnCsVFoQq7UwvkfyCQ&s,,,,
Nia Pilates,Prados del Este,Bienestar,https://share.google/ZMyWicxJ4b5Huxnyt,424-2293871,@niapilates,"10$ inscripcion, clase diaria 35$, clase privada 60$. ","4 clases al mes (90), 8 clases al mes (130$), 12 clases al mes (170$), 16 clases al mes (200$), 20 clases al mes (220$)",Estacionamiento,,7AM-5PM,4.7 / 5,https://dooit-prod.s3.amazonaws.com/public/tenants/nialatrinidad/thumbnail_image.webp,,,,
ClubF24H,Bellas Artes,24 Horas,,,@clubf24h,"10 diario, 40 semanal, 105 mensual","clubf24h (140), estudiantil (70, validos hasta 18 años), tercera edad (50), Corporativo (60 p/p, minimo 10 personas), familiar (80 p/p, de 3 a 5 personas)","Duchas , Lockers","Cycling, Yoga",24H,4.2 / 5,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRLX13bDZEZ5Fb4dEyvQvfpuG_HtTbmdcpR9A&s,,,,
Daniels Center Fitness,Av. Urdaneta,Musculación,https://share.google/YIBY7ugF9QHlY6Km4,0414-2449001,@danielscenter,"10$ diario , 25$ general,  mañanas 20$, noches 20$"," Adultos mayores (18$), gubernamental (20$)",,,7AM-8PM,4.4 / 5,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSfhV9ubgLGwpdgSt_HoqM065jo-1O8GD86Tg&s,,,,
Gimnasio Amo,La Candelaria (Libertador).,Fitness,https://share.google/kwPkDeEX4s9SkNerp,212-5764618,@gimnasio_amo,Inactivo,,Entrenamiento personal,Cycling,7AM-9PM,4.1 / 5,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR6hIIgXWvffugFLThqvB1L3-ODHubOog3XpA&s,,,,
Activa Gym ,Los chaguaramos,Gimnasio de Entrenamiento Funcional y Musculación,"https://www.google.com/maps/place/Activa+Fit,+Edificio+Fundaci%C3%B3n+Fondo+Andr%C3%A9s+Bello+Casa+del+Profesor+UCV,+Avenida+Bellas+Artes,+Caracas+1041,+Distrito+Capital/@10.4876378,-66.888399,15z/data=!4m6!3m5!1s0x8c2a59007bb9dce5:0x8c6c5d86305484cf!8m2!3d10.4876378!4d-66.888399!16s%2Fg%2F11xfqd_y5f?hl=es&g_ep=Eg1tbF8yMDI2MDQxNV8wIOC7DCoASAJQAg%3D%3D",0414-2126532 ,@activafitve,"Diario 9$, semanal 19$, mensual 50$+ 5$ de inscripcion)",,"Estacionamiento, Entrenamiento personal, Lockers, Asesoría nutricional, Fisioterapia","Musculación, Levantamiento de pesas, Entrenamiento Funcional, CrossFit",5:30AM-10:30PM,5/5,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS6iTEz0I8ptI-Y1FhiarlpEgYtARYXbGWtSA&s,,,,
Balance,Las Mercedes (Baruta),Entrenamiento de fuerza,"https://www.google.com/maps/place/F4JR%2B76X+BALANCE,+C.+Nueva+York,+Caracas+1080,+Miranda/@10.4807406,-66.8954475,14z/data=!4m6!3m5!1s0x8c2a5900205d97c7:0xd140057d8b93cf66!8m2!3d10.4807406!4d-66.8593986!16s%2Fg%2F11yltzg3jz?g_ep=Eg1tbF8yMDI2MDQxNV8wIOC7DCoASAJQAg%3D%3D ", 0414-6666108,@blnc.ve,no respondieron,,"Estacionamiento, Duchas , Lockers, Cafetería, vestidores, Fisioterapia, spa, manicure y pedicure","Yoga, Pilates, Levantamiento de pesas, Entrenamiento Funcional",5AM-10PM,4.6 / 5,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRnvOpabdoTUd6CroqorCqL4qjXXihg_V3ptw&s,,,,
Silver Back,Las Mercedes (Baruta),Entrenamiento de fuerza,https://maps.app.goo.gl/p7SZK11ZSJoq3uHw6?g_st=ic,No dice,@silverbackvzla,,"Plan vip (220$) , plan regula (180$), plan familiar (170$), familiar vip (210$)","Estacionamiento, Duchas , Lockers, Terraza, vestidores, Asesoría nutricional, Entrenamiento personal, Seguridad","CrossFit, Entrenamiento Funcional, Levantamiento de pesas, Boxeo, Musculación, Cycling",No disponible,4.2 / 5,"https://www.google.com/maps/place/Silverback+Gym/@10.4806296,-66.8623647,3a,75y,90t/data=!3m8!1e5!3m6!1sCIHM0ogKEICAgICp5rPFowE!2e10!3e10!6shttps:%2F%2Flh3.googleusercontent.com%2Fgps-cs-s%2FAPNQkAHXcyQTGRbSzPOIwx8PjvEDXgIy5j7zLeM_ikvnFd5ya-1DJqybSLVbfLWv8G7gKDS5ssieNvYtHun8T2lR4x9NJ8WagAu0wcxLdMEB1Cns082fSBlN-nhUkK01XPO9QvtX5Wpo%3Dw86-h155-k-no!7i592!8i1072!4m7!3m6!1s0x8c2a59775dff3375:0x1b31bffa266f8597!8m2!3d10.480401!4d-66.8622937!10e5!16s%2Fg%2F11t7jc62pv?entry=ttu&g_ep=EgoyMDI2MDQyOS4wIKXMDSoASAFQAw%3D%3D#.  https://www.google.com/maps/place/Silverback+Gym/@10.4804064,-66.8622878,3a,75y,90t/data=!3m8!1e2!3m6!1sCIHM0ogKEICAgIDTkOu59AE!2e10!3e12!6shttps:%2F%2Flh3.googleusercontent.com%2Fgps-cs-s%2FAPNQkAEtpy9oyh5hm-Dcsdssko0KahaeceYSbpgFq9FqP4UHS8XIqkG78su-ohmx9mqDJ3X-Forfs1Vmm_Wbt9YRPiU5c3CZsqh5CNNjYslQ6McUAagmOLqWgiHr-4DybkujrXGuauto%3Dw203-h270-k-no!7i3024!8i4032!4m7!3m6!1s0x8c2a59775dff3375:0x1b31bffa266f8597!8m2!3d10.480401!4d-66.8622937!10e5!16s%2Fg%2F11t7jc62pv?entry=ttu&g_ep=EgoyMDI2MDQyOS4wIKXMDSoASAFQAw%3D%3D#https://www.google.com/maps/place/Silverback+Gym/@10.4804064,-66.8622878,3a,75y,90t/data=!3m8!1e2!3m6!1sCIHM0ogKEICAgIDTkOu59AE!2e10!3e12!6shttps:%2F%2Flh3.googleusercontent.com%2Fgps-cs-s%2FAPNQkAEtpy9oyh5hm-Dcsdssko0KahaeceYSbpgFq9FqP4UHS8XIqkG78su-ohmx9mqDJ3X-Forfs1Vmm_Wbt9YRPiU5c3CZsqh5CNNjYslQ6McUAagmOLqWgiHr-4DybkujrXGuauto%3Dw203-h270-k-no!7i3024!8i4032!4m7!3m6!1s0x8c2a59775dff3375:0x1b31bffa266f8597!8m2!3d10.480401!4d-66.8622937!10e5!16s%2Fg%2F11t7jc62pv?entry=ttu&g_ep=EgoyMDI2MDQyOS4wIKXMDSoASAFQAw%3D%3D#",,,,
Top Spa ,La california norte,Musculación,https://maps.app.goo.gl/e47bD5waNbB5pSHr7?g_st=ic, 0424-2710735,@topspavzla,No respondieron,,"Estacionamiento, Terraza, Piscina, Asesoría nutricional, vestidores, Duchas","Levantamiento de pesas, CrossFit, Yoga, Natación, Baile terapia",6AM/9PM,No disponible,https://lh3.googleusercontent.com/gps-cs-s/APNQkAG2n3jDxIofi6G0FJMP-mHw_PmcH4eNja9Ptc4Jv3NN-oL3GlZPR7RdqMXMLcbwhQQK5LJZY2DEWGioXTYdUcPUFqhnUaRaSMjRodOMPy_YQrFAqgvimwF8TcJYOb8eTP_DwTG9=s680-w680-h510-rw.  https://lh3.googleusercontent.com/gps-cs-s/APNQkAHYQYbwncbbCCfFGpj9axFOlMthFjUEXHBv31XyZHbecJm_GM4L1b5BQ8DvXw13vLsULRaHeoxfgjYq0VVP6Cx3_o-FjdyFp76uqDuNkAFrT0K5-MrqAeZGnlf-2uPkaIwOMhNA=s680-w680-h510-rw,,,,
The gym route,Av urdaneta,Gimnasio musculacion,https://maps.app.goo.gl/pQ77dADAKJFqj7Q28?g_st=iw,4242686859,@thegymroute," Diario 5$, 12 Dias 30$, 2 meses 80$",,Cafetería,Levantamiento de pesas,6:30AM-8PM,4.4/5,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGn-9VlXGPWLTdASeT31cWwSje7M5dTtkDiZ9Bi8Ia6o3DFvJzYvM1i9rWXm3LX2x0i61LlZhQGA-iDYcSJaJ7OlbYOy66qlkh3soCvsd10mc3bPae79o95jS1-8f1pUTPkLck7=s680-w680-h510-rw,,,,
Cafiplus,Santa Monica,Musculación,https://share.google/HQ2kPeGJMXN21vCws,4123650132,@cafiplus,No respondieron,,Lockers,Boxeo,8:AM-9PM,No disponible,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ82OsqQ553mQKZ-LV3-TI5v6_kDm_RMCM4dA&s,,,,
Titaniumfitnessc,La lagunita,Fitness,https://share.google/NGtLijcJp05JN3uY6,424-1711521,@titaniumfitnessc,"inscripcion (20$), trimestral (300$) ","Plan individual (140$ mensual), plan pareja (130$ mes c/u), plan familiar (120$ a partir de 3 personas ), plan estudiantil (80$ mensual ), plan limitado (60$ mensual])","Estacionamiento, Fisioterapia, Asesoría nutricional, Terraza","Cycling, Musculación, Pilates",5AM-10PM,5/5,https://lh3.googleusercontent.com/p/AF1QipO6dntmj66o04Ms2JFyLWg5C7yR4Hxi2MHPtn7B=s680-w680-h510-rw,,,,
Gim398,Las Mercedes (Baruta),Integral Fitness,https://share.google/ma7VI7l3yOcEVloAV,212-9931315,@gim398,"mensual (140$) , trimestral (400$)",,"Terraza, Cafetería","CrossFit, Levantamiento de pesas, Boxeo",6AM-8:30PM,4.5/5,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHtKSQ09HJ0fvQT_ikE60uy-HyE70ES7LP-sG-D2WpjMSFZmOwTWYdwuA2hS1XBwTB_Nw2vBCmYp68Wf-T07SF-sV9VmYucFpf8MWr31OqQNAdbOnLA0DLO9_XOSgCDK42LYDWW=s680-w680-h510-rw. https://lh3.googleusercontent.com/gps-cs-s/APNQkAHGf7515TlZEqa_EqYy4caq68nlTpCleTUrj0oA96bVMSMaadZT423u5TuFpe8JRrtUP8Cn7JZde2tUk8USxzllyL_cNJSFrM1HXITLGl4dOsxQajbsd4sX65Ac9wCEmZZd6TEv=s680-w680-h510-rw,,,,
Luxor fitness center ,Las Mercedes (Baruta),Integral Fitness,https://maps.app.goo.gl/aoP59Z3tx7i98S717,0414-5877283,@luxorfitnesscenter,,"Plan premium (200€ acceso limitado), plan platino (160€ mayores de 65 años), plan joven (30€ entre 5 y 22 años) y plan 2 dias (120€ fija los dias de las semana que quieras ir) ","Estacionamiento, Duchas",Levantamiento de pesas,6AM-9PM,4.6/5,https://lh3.googleusercontent.com/p/AF1QipPkWOAb5cCjqyUgubMbmTFDDgFhuNPjgS7ANz-t=s680-w680-h510-rw,,,,
